,구분,일,미세먼지,사용일자
745,성북구,29,9,20240829
746,송파구,29,11,20240829
747,양천구,29,9,20240829
748,영등포구,29,11,20240829
749,용산구,29,11,20240829
750,은평구,29,8,20240829
751,종로구,29,9,20240829
752,중구,29,11,20240829
753,중랑구,29,9,20240829
754,서울시 평균,30,14,20240830
755,강남구,30,15,20240830
756,강동구,30,15,20240830
757,강북구,30,14,20240830
758,강서구,30,16,20240830
759,관악구,30,17,20240830
760,광진구,30,14,20240830
761,구로구,30,10,20240830
762,금천구,30,13,20240830
763,노원구,30,15,20240830
764,도봉구,30,13,20240830
765,동대문구,30,16,20240830
766,동작구,30,15,20240830
767,마포구,30,17,20240830
768,서대문구,30,13,20240830
769,서초구,30,16,20240830
770,성동구,30,16,20240830
771,성북구,30,13,20240830
772,송파구,30,16,20240830
773,양천구,30,14,20240830
774,영등포구,30,16,20240830
775,용산구,30,17,20240830
776,은평구,30,14,20240830
777,종로구,30,13,20240830
778,중구,30,12,20240830
779,중랑구,30,12,20240830
780,서울시 평균,31,36,20240831
781,강남구,31,38,20240831
782,강동구,31,38,20240831
783,강북구,31,32,20240831
784,강서구,31,36,20240831
785,관악구,31,41,20240831
786,광진구,31,36,20240831
787,구로구,31,35,20240831
788,금천구,31,35,20240831
789,노원구,31,38,20240831
790,도봉구,31,30,20240831
791,동대문구,31,40,20240831
792,동작구,31,37,20240831
793,마포구,31,38,20240831
794,서대문구,31,33,20240831
795,서초구,31,38,20240831
796,성동구,31,38,20240831
797,성북구,31,35,20240831
798,송파구,31,40,20240831
799,양천구,31,33,20240831
800,영등포구,31,35,20240831
801,용산구,31,41,20240831
802,은평구,31,33,20240831
803,종로구,31,33,20240831
804,중구,31,32,20240831
805,중랑구,31,33,20240831
